Awards List,,,,
Search Criteria: Fiscal Year From: 2022-2023 | Fiscal Year To: 2022-2023 | Institution & Province: University of British Columbia | By Institutions: All,,,,
"Total No Of Results: 1,583",,,,
Name,Project Title,Amount($),Fiscal Year,Program
"Oruc, Ipek",Robust visual recognition of high-level form in human observers,"47,000",2022-2023,Discovery Grants Program - Individual
"Orvig, Chris",Coordination Chemistry of (Radio)metal Ions,"242,000",2022-2023,Discovery Grants Program - Individual
"Oser, Scott",The SuperCDMS experiment,"75,738",2022-2023,Subatomic Physics Envelope - Project
"Otto, Sarah",Evolutionary models for a changing world,"78,000",2022-2023,Discovery Grants Program - Individual
"Otto, Sarah",Theoretical and Experimental Evolution,"200,000",2022-2023,Canada Research Chairs
"Paat, Joseph",Dimension reduction techniques for mixed integer programs,"36,000",2022-2023,Discovery Grants Program - Individual
"Padda, KiranPreetKP",Exploring the role of native tundra legumes in restoring soil health and ecosystem functioning at degraded mining sites in Northern Canada,"45,000",2022-2023,Postdoctoral Fellowships
"Page, Brent",Exploiting protein stability changes to identify next generation chemical probes and target engagement technologies,"12,500",2022-2023,Discovery Launch Supplement
"Page, Brent",Exploiting protein stability changes to identify next generation chemical probes and target engagement technologies,"37,000",2022-2023,Discovery Grants Program - Individual
"Pageau, ClaudieC",Exploring the link between sexual signals and immunocompetence at the genomic level in Barn Swallows (Hirundo rustica),"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Pakhomov, Evgeny",Fundamental macroecology and energy pathways in the mesopelagic zooplankton and micronekton communities,"47,000",2022-2023,Discovery Grants Program - Individual
"Pakpour, Sepideh","Sustainable, resilient and healthy built environments: An integrated approach","26,000",2022-2023,Discovery Grants Program - Individual
"Palombo, Daniela",Remembering in the Real World: Effects of Emotion,"33,000",2022-2023,Discovery Grants Program - Individual
"Pan, ShiLongSL",Parallel size analysis and biomarker profiling of extracellular vesicles by single-vesicle super-resolution fluorescence microscopy,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Pan, ShiLongSL",Single exosome sizing and surface receptor profiling,"6,000",2022-2023,University Undergraduate Student Research Awards
"Panchen, ZoeA",High-Arctic phenology shifts: climate change implications for reproductive success and plant community composition,"22,500",2022-2023,Postdoctoral Fellowships
"Pandey, PrashantP",Ultrasound-based Surgical Navigation For Iliosacral Screw Insertions In Pelvic Fractures,"50,000",2022-2023,Vanier Canada Graduate Scholarship Tri-Council - Doctoral 3 years
"Pardhan, KhizrAliKA",Deep learning across microbial DNA sequence networks,"6,000",2022-2023,University Undergraduate Student Research Awards
"Parfrey, Laura",Protist Ecology,"100,000",2022-2023,Canada Research Chairs
"Parfrey, Laura",Testing the role of microbial distribution and functional traits in the ecology and evolution of symbiosis,"40,000",2022-2023,Discovery Grants Program - Individual
"Park, Keunhyun",Developing automated visitor monitoring tools for better management of urban nature,"27,000",2022-2023,Discovery Grants Program - Individual
"Park, Keunhyun",Developing automated visitor monitoring tools for better management of urban nature,"12,500",2022-2023,Discovery Launch Supplement
"Park, KwangjinK",Roles of the Lysine Methyl Transferase (KMT) 2d in hepatocyte identity,"45,000",2022-2023,Postdoctoral Fellowships
"Park, MiJung",Turning an enemy into an ally: Privacy In Machine Learning (Pri-ML),"12,500",2022-2023,Discovery Launch Supplement
"Park, MiJung",Turning an enemy into an ally: Privacy In Machine Learning (Pri-ML),"25,000",2022-2023,Discovery Grants Program - Individual
"Park, Yongjin",Statistical learning and causal inference in high-dimensional genomics data across multiple information layers,"19,000",2022-2023,Discovery Grants Program - Individual
"Park, Yongjin",Statistical learning and causal inference in high-dimensional genomics data across multiple information layers,"12,500",2022-2023,Discovery Launch Supplement
"Parker, Seth",Interrogating amino acid transport and organelle exchange,"30,000",2022-2023,Discovery Grants Program - Individual
"Pasquier, Thomas",Next Generation Provenance-based Intrusion Detection System,"29,000",2022-2023,Discovery Grants Program - Individual
"Pasquier, Thomas",Next Generation Provenance-based Intrusion Detection System,"12,500",2022-2023,Discovery Launch Supplement
"Pata, PatrickPP",Zooplankton bioregionalization of the British Columbia coastal ocean,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Patey, Grenfell","Theory and Simulation of Liquids, Solutions, and Nucleation Processes","96,000",2022-2023,Discovery Grants Program - Individual
"Pattabiraman, Karthik","Resilient, Secure, and Programmable Next-Generation Internet of Things (IoT)","48,000",2022-2023,Discovery Grants Program - Individual
"Pattabiraman, Karthik","Resilient, Secure, and Programmable Next-Generation Internet of Things (IoT)","40,000",2022-2023,DND/NSERC Discovery Grant Supplement
"Pavlidis, Paul",Neuroinformatics for genomics and anatomy,"48,000",2022-2023,Discovery Grants Program - Individual
"Pawlik, MarekM",Strengthening Floc Structure During Pressure Filtration of Flocculated Tailings,"20,000",2022-2023,Alliance Grants
"Pawlik, MarekM",Surface chemistry of froth flotation of lead-zinc-arsenic-antimony ores,"25,000",2022-2023,Alliance Grants
"Pawlowicz, Rich",Small-scale processes in the ocean,"30,000",2022-2023,Discovery Grants Program - Individual
"Pawlowicz, RichRA","Sources, dispersion, fate and impact of endocrine disruptive chemicals in the strait of Georgia","179,582",2022-2023,Alliance Grants
"Pawluk, MeganMA",Clarifying the definition of the federally-listed Vancouver Island Beggarticks,"6,000",2022-2023,University Undergraduate Student Research Awards
"Peach, DanielD",From genes to ecology: The current and future distribution of arbovirus vectors,"8,750",2022-2023,Banting Postdoctoral Fellowships Tri-council
"Peacock, Simon","Investigation of fluids and hydrated mantle in subduction zones, with a focus on Cascadia","35,000",2022-2023,Discovery Grants Program - Individual
"Peleato, Nicolas",Development of Spectroscopic Methods for Optimizing Drinking Water Treatment Processes,"26,000",2022-2023,Discovery Grants Program - Individual
"Peleato, NicolasNM",Wireless water quality monitoring for improved drinking water system management,"300,633",2022-2023,Alliance Grants
"Pelletier, Nathaniel",Supporting sustainable intensification in the Canadian field crop sector: Advancing life cycle assessment methods and applications to identify priority technologies for resource efficiency and emissions reduction objectives,"31,000",2022-2023,Discovery Grants Program - Individual
"Pennell, Matthew",Adapting Biosystems,"20,753",2022-2023,Canada Research Chairs
"Pennell, Matthew",The phylogenetic history of ecosystem structure and function,"31,570",2022-2023,Discovery Grants Program - Individual
"Pepin, DeannaMargrietDM",Impact of osmotic perturbations on the gut microbiota,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Perkins, Edwin",Stochastic Spatial Processes,"42,000",2022-2023,Discovery Grants Program - Individual
"Perrin, David","New Molecules, Methods, and Platforms at the Interface of Organic Chemistry and Chemical Biology","94,000",2022-2023,Discovery Grants Program - Individual
"Perrin, DavidDM",Synthesis of hetero-trifunctional cross linkers for the design and evaluation of antibody-mediated delivery of chimeric protein degraders,"180,000",2022-2023,Alliance Grants
"Perryman, OliviaOM",Master's of Computer Science Graduate Scholarship Application for Research in Machine Learning,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Peters, CarrieCM","Mirror mirror on the wall, how is information integrated to intercept a ball?","21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Peterson, GeorgiaGA",Intrusive Magmatism and Effects on Magnetic Field and Atmosphere Evolution,"45,000",2022-2023,Postdoctoral Fellowships
"Peterson, KateF",Development of climate-sensitive tree growth models based on population transfer functions,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Pett, NicolaNJ",Investigating bacteriophage-bacteria dynamics in the mammalian gut,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"PHAM, CYNTHIACP","Characterizing the sources and impacts of air pollution for vulnerable populations: a three-pronged field monitoring study in Vancouver, Canada","17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
"Phani, Srikantha",Mechanics of Structured Materials,"32,000",2022-2023,Discovery Grants Program - Individual
"Phani, SrikanthaASP",Mechanics of tissue making: modelling and experiments,"64,800",2022-2023,Collaborative Research and Development Grants
"Phelan, EliseETP",Probing molecular force regulating cell-cell interactions,"6,000",2022-2023,University Undergraduate Student Research Awards
"Picard, Sebastien",Nonlinear PDEs in Complex Geometry and Physics,"26,000",2022-2023,Discovery Grants Program - Individual
"Piette, JourdainJH",Rheology and Characterization of Associating Polymers,"21,000",2022-2023,Postgraduate Scholarships - Doctoral
"Pini, FedericoFAP",Uncovering the novel type of inter-neuronal interaction in precise synapse patterning,"6,000",2022-2023,University Undergraduate Student Research Awards
"Piret, James",Bioprocess Engineering of Cells for Therapy,"46,000",2022-2023,Discovery Grants Program - Individual
"Pither, Jason",Imprints and implications of historical contingencies in biodiversity patterns,"28,000",2022-2023,Discovery Grants Program - Individual
"Plan, Yaniv",Low-dimensional structures in high-dimensional data,"27,000",2022-2023,Discovery Grants Program - Individual
"Plan, Yaniv",Low-dimensional structures in high-dimensional data,"40,000",2022-2023,Discovery Grants Program - Accelerator Supplements
"Plan, Yaniv",Data Science,"100,000",2022-2023,Canada Research Chairs
"Polson, LucasLAP",Deep Learning for Quantitative Prognostics of Prostate Cancer,"35,000",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Poole, Warren",Through Process Modelling of Advanced Structural Materials,"200,000",2022-2023,Canada Research Chairs
"Poole, Warren",Integrated Computational Materials Engineering of Next Generation Aluminum and Magnesium Alloys,"55,000",2022-2023,Discovery Grants Program - Individual
"Poole, WarrenWJ",Engineered 3D Microstructures for Automotive Aluminum Extrusions,"80,000",2022-2023,Alliance Grants
"Poole, WarrenWJ",Through process modelling of next generation heavy gauge line pipe,"94,500",2022-2023,Alliance Grants
"Potter, Andrew",Universality and topology in gapless systems and far from equilibrium,"12,500",2022-2023,Discovery Launch Supplement
"Potter, Andrew",Universality and topology in gapless systems and far from equilibrium,"39,000",2022-2023,Discovery Grants Program - Individual
"Poulter, MeganMML",Hormonal Influences on Social Cognition and Stress Reactivity,"6,000",2022-2023,University Undergraduate Student Research Awards
"Poursartip, Anoush",Characterization and modelling of pre-gelation/gelation behaviour of polymer composites,"56,000",2022-2023,Discovery Grants Program - Individual
"Powar, AmarpreetAK",Device Technology for Cellular Therapy Bioprocessing,"6,000",2022-2023,University Undergraduate Student Research Awards
"Pramanik, MalabikaM",Banff International Research Station,"994,176",2022-2023,Discovery Institutes Support Grants
"Pranckevicius, Conor",Multifunctional Borylenes for Metal- and Boron-Mediated Reactions,"29,000",2022-2023,Discovery Grants Program - Individual
"PratapSingh, Anubhav",Evaluation of novel food processing methods for ensuring food quality and safety in the Milk and Dairy-Beverage Industries,"24,000",2022-2023,Discovery Grants Program - Individual
"Preocanin, KatarinaKA",Laser alignment of molecules in helium nanodroplets,"6,000",2022-2023,University Undergraduate Student Research Awards
"Protopopova, Alexandra",Intra-species variation in dogs (Canis lupus familiaris): Testing the Pace-of-Life Syndrome hypothesis,"28,000",2022-2023,Discovery Grants Program - Individual
"Protopopova, AlexandraA",NSERC/BC SPCA Industrial Research Chair in Animal Welfare,"100,000",2022-2023,Industrial Research Chairs
"Purewal, ManmeetMK",AI system for lymph node volume analysis in oncological imaging and therapy assessment,"6,000",2022-2023,University Undergraduate Student Research Awards
"Puri, PriyaPNK",Identifying the Causal Biotic Agents Associated with the Decline of Arbutus menziesii,"17,500",2022-2023,Alexander Graham Bell Canada Graduate Scholarships - Master's
