"Project Number","Project title","Fund Type",Fund,"Team Leader(s)","Team Member(s)",Province,Municipality,"Institution type","Lead Institution","Collaborating Institutions","Field of research",Keywords,"Funding decision year","Decision date","CFI Contribution"
28806,"Smart Materials and Structures Laboratory (SMSL) for Innovative Civil Infrastructure","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Shahria Alam","Shahria Alam, Solomon Tesfamariam","British Columbia",Vancouver,University,"The University of British Columbia",,"Civil engineering","shape memory alloy, fiber reinforced polymer,  steel-wood hybrid element, civil infrastructure, extreme loads, actuator, load frame, data acquisition system",2011,14-Jun-11,$389316
28651,"Soil Microbial Ecology Research Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","John Klironomos","John Klironomos","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","soil ecology, fungi, mycorrhiza, plant communities, restoration, molecular, microscopy",2011,14-Jun-11,$122167
27043,"Test Equipment for Characterizing High Efficiency RF Switch-mode Power Amplifiers","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Thomas Johnson","Thomas Johnson","British Columbia",Vancouver,University,"The University of British Columbia",,"Electrical engineering, computer engineering, and information engineering","radio frequency power amplifier, microwave measurement system, switch-mode amplifier, sigma-delta modulation, wireless infrastructure, pulse encoding",2011,14-Jun-11,$125000
26455,"The Centre for Culture and Technology","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Aleksandra Dulic","Aleksandra Dulic, Stephen Foster","British Columbia",Vancouver,University,"The University of British Columbia",,"Visual arts and media arts","Culturally reflective computing, experience design, interactive art, game design, visualization, sonification, embodied interaction",2011,14-Jun-11,$124292
220324,"The Laboratory for Pharmaceutical Outcome Research","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Larry Lynd","Larry Lynd, Carlo Marra","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","pharmaceutical outcomes, drug safety, pharmacoeconomics, arthritis, chronic disease management",2011,14-Jun-11,$123650
26283,"The Power Electronics Laboratory for High Efficiency Electric Vehicle Battery Charging","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Wilson Eberle","Wilson Eberle","British Columbia",Vancouver,University,"The University of British Columbia",,"Electrical engineering, computer engineering, and information engineering","power electronics, power supplies, power converters",2011,14-Jun-11,$125000
28752,"UBC(3)D - The University of British Columbia Centre for Catalyst Development","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Laurel Schafer","Laurel Schafer","British Columbia",Vancouver,University,"The University of British Columbia",,"Inorganic chemistry","catalyst, titanium, zirconium, tantalum, amines, enynes, heterocycles, analysis, asymmetric catalysis, yttrium",2011,14-Jun-11,$203880
31170,"A Digital Radio Telescope for CHIME: three dimensional mapping of the largest volume of the Universe to date.","Innovation Fund","Leading Edge Fund (2012 competition)","Mark Halpern","John Bond, Matt Dobbs, Mark Halpern, David Hanna, Gary Hinshaw, Thomas Landecker, Ue-Li Pen, Kris Sigurdson, Keith Vanderlinde","British Columbia",Vancouver,University,"The University of British Columbia","University of Toronto, McGill University","Cosmology and extragalactic astronomy","Cosmology, dark energy, large scale structure, baryon acoustic oscillations, Hydrogen, diffuse galactic emission, pulsars radio telescopes, high speed electronics and algorithms, low noise amplifiers",2012,20-Nov-12,$4585372
30287,"A 'genes-to-ecosystems' approach to ecology","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Gregory Crutsinger","Gregory Crutsinger","British Columbia",Vancouver,University,"The University of British Columbia",,"Biological sciences","biodiversity, genetics, communities, ecosystem function, plant-insect interactions, soil microbes, pollination, nutrient cycling, conservation",2012,20-Mar-12,$125000
30376,"Advanced Electrochemical and Mechanical Testing Facilities for Clean Aqueous Processing","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Edouard Asselin","Edouard Asselin","British Columbia",Vancouver,University,"The University of British Columbia",,"Materials engineering and resources engineering","Metallurgy, Hydrometallurgy, Electrochemistry, Corrosion, Leaching, Stress Corrosion Cracking, Gold, Thiosulfate",2012,20-Mar-12,$40000
30465,"Advanced laser system for ultra-fast 3D imaging of brain plasticity","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Kurt Haas","Kurt Haas","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurosciences, medical and physiological and health aspects","two-photon microscope, laser, imaging, brain plasticity, development, neurodevelopmental disorders, Autism, Epilepsy",2012,20-Mar-12,$123200
27406,"Amino Acid and Protein Nutrition Research Laboratory","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Rajavel Elango","Rajavel Elango","British Columbia",Vancouver,University,"The University of British Columbia",,"Human nutrition and dietetics","Nutrition, amino acid requirements, protein requirements, amino acid metabolism, stable isotopes, mass spectrometry, childhood malnutrition, nutrition through life-cycle",2012,20-Mar-12,$100000
30261,"Analysis of Epigenetic Control of Gene Silencing","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Carolyn Brown","Carolyn Brown","British Columbia",Vancouver,University,"The University of British Columbia",,Genetics,"Pyrosequencing, DNA methylation, allelic quantification, X-chromosome inactivation, epigenetics, heterochromatin",2012,20-Mar-12,$89994
31504,"Analysis platform for pathogen-induced cytokine responses","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Georgia Perona-Wright","Georgia Perona-Wright","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","cytokine, cytokine receptor, T cell, cellular immunology, infection biology, immunopathology, parasite, virus",2012,20-Nov-12,$132306
30180,"Biogeomorphology Experimental Laboratory (BGMX)","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Marwan Hassan","Brett Eaton, Marwan Hassan, Gregory Henry","British Columbia",Vancouver,University,"The University of British Columbia",,"Earth and related environmental sciences","Biogeomorphology, vegetation dynamics, channel morphology, sediment transport, vegetation adaptation, aquatic habitat, climate change, land use, flow regime",2012,20-Mar-12,$392000
30663,"Carbohydrate-active enzyme discovery for engineering and applications","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Harry Brumer","Harry Brumer","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"carbohydrate enzymology, enzyme structure-function analysis, biochemical assay development, recombinant protein expression, functional genomics, carbohydrate chemistry, biomass resource utilization, carbohydrate-based biomaterials",2012,19-Jun-12,$125000
31528,"Clinically-Ready Touch-Based Therapeutic Robot and Assessment Tools","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Karon Maclean","Karon Maclean","British Columbia",Vancouver,University,"The University of British Columbia",,"Artificial intelligence (AI)","Human-robot interaction, social robotics, haptic interfaces, affective touch, anxiety mitigation, assistive technology, intelligent systems, design for children",2012,20-Nov-12,$95000
31345,"Computational infrastructure for defining genomic landscapes and resolving the clinical impact of somatic mutations in cancer","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Samuel Aparicio","Samuel Aparicio","British Columbia",Vancouver,University,"The University of British Columbia",,Cancer,"Cancer genomics, somatic mutations, next generation sequencing, bioinformatics, computational biology, driver mutation, tumour evolution",2012,20-Nov-12,$265681
228372,"Computing infrastructure for high throughput genomics and proteomics data, and the development of biostatistical methods for translational health initiatives","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Gabriela Cohen Freue","Gabriela Cohen Freue","British Columbia",Vancouver,University,"The University of British Columbia",,Statistics,"Biomarkers, biostatistics, genomics, proteomics, health.",2012,20-Nov-12,$119990
30342,"Development of Lipid Nanoparticle Systems for siRNA Delivery","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","Pieter Cullis","Pieter Cullis","British Columbia",Vancouver,University,"The University of British Columbia",,Biochemistry,"siRNA, lipid nanoparticle, targeting ligand, delivery, microfluidics, microscopy, biophysical, gene silencing",2012,20-Mar-12,$240000
228408,"Development of next generation sequencing technologies platform support.","John R. Evans Leaders Fund","Leaders Opportunity Fund - Funding for infrastructure associated with a Canada Research Chair","Carles Vilarino-Guell","Carles Vilarino-Guell","British Columbia",Vancouver,University,"The University of British Columbia",,"Neurosciences, medical and physiological and health aspects","multiple sclerosis, neurological disease, genetics, neuroscience, mutation, risk factor, epidemiology, next generation sequencing.",2012,20-Nov-12,$122217
30247,"Dietary Interventions and Better Exercise Through Experimental Science (D.I.A.B.E.T.E.S) CENTER","John R. Evans Leaders Fund","John R. Evans Leaders Fund – Funding for research infrastructure","SANJOY GHOSH","SANJOY GHOSH","British Columbia",Vancouver,University,"The University of British Columbia",,"Health services and systems","diet, fat, exercise, heart, diabetes, obesity, oxidative stress",2012,20-Mar-12,$124710
31108,"ENVIROTRON FOR PLANT ADAPTATION RESEARCH","Innovation Fund","Leading Edge Fund (2012 competition)","Loren Rieseberg","Sally Aitken, Amy Angert, Joerg Bohlmann, Quentin Cronk, Carl  Douglas, Robert Guy, George Haughn, Gregory Henry, Shawn Mansfield, Loren Rieseberg","British Columbia",Vancouver,University,"The University of British Columbia",,"Plant biology","climate adaptation, evolution, plant adaptation, plant genomics, food security, forestry  Climate-controlled Envirotron",2012,20-Nov-12,$1061030
